Ano,Mes,Tema,Subtema,item,Viajeros
2012,Agosto,Flujos turisticos,Flujo emisivo,Residentes,"3,525,280"
2012,Septiembre,Flujos turisticos,Flujo emisivo,Residentes,"3,512,392"
2012,Octubre,Flujos turisticos,Flujo emisivo,Residentes,"3,928,455"
2012,Noviembre,Flujos turisticos,Flujo emisivo,Residentes,"3,927,433"
2012,Diciembre,Flujos turisticos,Flujo emisivo,Residentes,"4,509,255"
2012,Total,Flujos turisticos,Flujo emisivo,Residentes,"45,100,185"
2013,Enero,Flujos turisticos,Flujo emisivo,Residentes,"4,236,581"
2013,Febrero,Flujos turisticos,Flujo emisivo,Residentes,"2,989,768"
2013,Marzo,Flujos turisticos,Flujo emisivo,Residentes,"3,927,843"
2013,Abril,Flujos turisticos,Flujo emisivo,Residentes,"3,532,634"
2013,Mayo,Flujos turisticos,Flujo emisivo,Residentes,"3,223,022"
2013,Junio,Flujos turisticos,Flujo emisivo,Residentes,"4,253,829"
2013,Julio,Flujos turisticos,Flujo emisivo,Residentes,"4,220,127"
2013,Agosto,Flujos turisticos,Flujo emisivo,Residentes,"3,979,649"
2013,Septiembre,Flujos turisticos,Flujo emisivo,Residentes,"4,504,554"
2013,Octubre,Flujos turisticos,Flujo emisivo,Residentes,"4,907,687"
2013,Noviembre,Flujos turisticos,Flujo emisivo,Residentes,"3,956,192"
2013,Diciembre,Flujos turisticos,Flujo emisivo,Residentes,"4,740,173"
2013,Total,Flujos turisticos,Flujo emisivo,Residentes,"48,472,059"
2014,Enero,Flujos turisticos,Flujo emisivo,Residentes,"5,125,466"
2014,Febrero,Flujos turisticos,Flujo emisivo,Residentes,"3,306,353"
2014,Marzo,Flujos turisticos,Flujo emisivo,Residentes,"4,206,913"
2014,Abril,Flujos turisticos,Flujo emisivo,Residentes,"4,098,316"
2014,Mayo,Flujos turisticos,Flujo emisivo,Residentes,"3,515,052"
2014,Junio,Flujos turisticos,Flujo emisivo,Residentes,"4,726,387"
2014,Julio,Flujos turisticos,Flujo emisivo,Residentes,"4,980,298"
2014,Agosto,Flujos turisticos,Flujo emisivo,Residentes,"4,272,550"
2014,Septiembre,Flujos turisticos,Flujo emisivo,Residentes,"4,480,075"
2014,Octubre,Flujos turisticos,Flujo emisivo,Residentes,"5,048,769"
2014,Noviembre,Flujos turisticos,Flujo emisivo,Residentes,"5,380,428"
2014,Diciembre,Flujos turisticos,Flujo emisivo,Residentes,"5,051,727"
2014,Total,Flujos turisticos,Flujo emisivo,Residentes,"54,192,334"
2015,Enero,Flujos turisticos,Flujo emisivo,Residentes,"6,605,125"
2015,Febrero,Flujos turisticos,Flujo emisivo,Residentes,"4,603,000"
2015,Marzo,Flujos turisticos,Flujo emisivo,Residentes,"5,620,844"
2015,Abril,Flujos turisticos,Flujo emisivo,Residentes,"5,430,250"
2015,Mayo,Flujos turisticos,Flujo emisivo,Residentes,"5,932,527"
2015,Junio,Flujos turisticos,Flujo emisivo,Residentes,"7,116,579"
2015,Julio,Flujos turisticos,Flujo emisivo,Residentes,"6,446,941"
2015,Agosto,Flujos turisticos,Flujo emisivo,Residentes,"6,376,534"
2015,Septiembre,Flujos turisticos,Flujo emisivo,Residentes,"6,764,200"
2015,Octubre,Flujos turisticos,Flujo emisivo,Residentes,"7,896,050"
2015,Noviembre,Flujos turisticos,Flujo emisivo,Residentes,"7,725,631"
2015,Diciembre,Flujos turisticos,Flujo emisivo,Residentes,"7,430,471"
2015,Total,Flujos turisticos,Flujo emisivo,Residentes,"77,948,152"
2016,Enero,Flujos turisticos,Flujo emisivo,Residentes,"7,442,251"
2016,Febrero,Flujos turisticos,Flujo emisivo,Residentes,"5,026,288"
2016,Marzo,Flujos turisticos,Flujo emisivo,Residentes,"5,940,922"
2016,Abril,Flujos turisticos,Flujo emisivo,Residentes,"5,477,291"
2016,Mayo,Flujos turisticos,Flujo emisivo,Residentes,"6,553,208"
2016,Junio,Flujos turisticos,Flujo emisivo,Residentes,"6,721,876"
2016,Julio,Flujos turisticos,Flujo emisivo,Residentes,"6,371,371"
2016,Agosto,Flujos turisticos,Flujo emisivo,Residentes,"6,087,952"
2016,Septiembre,Flujos turisticos,Flujo emisivo,Residentes,"5,892,821"
2016,Octubre,Flujos turisticos,Flujo emisivo,Residentes,"7,006,089"
2016,Noviembre,Flujos turisticos,Flujo emisivo,Residentes,"6,849,500"
2016,Diciembre,Flujos turisticos,Flujo emisivo,Residentes,"6,815,878"
2016,Total,Flujos turisticos,Flujo emisivo,Residentes,"76,185,447"
2017,Enero,Flujos turisticos,Flujo emisivo,Residentes,"6,947,995"
2017,Febrero,Flujos turisticos,Flujo emisivo,Residentes,"4,688,494"
2017,Marzo,Flujos turisticos,Flujo emisivo,Residentes,"5,644,538"
2017,Abril,Flujos turisticos,Flujo emisivo,Residentes,"5,972,891"
2017,Mayo,Flujos turisticos,Flujo emisivo,Residentes,"5,848,334"
